Name,Phone,Email,State,Response,Coverage,Education,EmploymentStatus,Gender,Income,Marital Status,Sales Channel,Vehicle Class,Vehicle Size,Age,VehiclePrice,Clusters,Product Name,Age of Vehicle
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Jyothi,345676777,b@gmail.com,Washington,No,Premium,High School or Below,Employed,Female,56555,Married,Web,Luxury SUV,Large,33,60000 to 69000,1,None,5 Years
LLL,345676777,b@gmail.com,Washington,No,Premium,High School or Below,Employed,Female,56555,Married,Web,Luxury SUV,Large,33,60000 to 69000,2,None,5 Years
Random,0909098989,q@gmail.com,Nevada,No,Premium,Master,Medical Leave,Female,55444,Single,Web,SUV,Large,45,40000 to 59000,3,None,4 Years
Random,0909098989,q@gmail.com,Nevada,No,Premium,Master,Medical Leave,Female,55444,Single,Web,SUV,Large,45,40000 to 59000,3,None,4 Years
Random,0909098989,q@gmail.com,Nevada,No,Premium,Master,Medical Leave,Female,55444,Single,Web,SUV,Large,45,40000 to 59000,3,None,4 Years
Random,0909098989,q@gmail.com,Nevada,No,Premium,Master,Medical Leave,Female,55444,Single,Web,SUV,Large,45,40000 to 59000,3,None,4 Years
Sai Kiran,7795162451,sai@gmail.com,Oregon,No,Extended,Master,Employed,Male,60000,Single,Agent,Sports Car,Large,30,60000 to 69000,3,None,4 Years
Saahil,565768877,SS@gmail.com,Arizona,No,Premium,Master,Employed,Male,69000,Married,Call center,SUV,Small,29,30000 to 39000,3,None,6 Years
Saahil,565768877,SS@gmail.com,Arizona,No,Premium,Master,Employed,Male,69000,Married,Agent,SUV,Small,29,30000 to 39000,3,None,6 Years
Animesh,9045409039,animesh@gmail.com,Nevada,No,Premium,Master,Employed,Male,80000,Single,Agent,Luxury Car,Large,26,more than 69000,3,None,3 Years
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Mahesh,9501656565,m@gmail.com,Nevada,No,Extended,High School or Below,Employed,Male,43445,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Charan Harsha,7986272559,charanharsha30@gmail.com,Arizona,No,Extended,Master,Unemployed,Female,76777,Single,Agent,Four-Door Car,Medium Size,27,30000 to 39000,3,None,5 Years
Deepak,345656566,deepak@gmail.com,Washington,Yes,Basic,Master,Employed,Male,66543,Married,Agent,Two-Door Car,Small,33,less than 20000,3,None,New
Charan Harsha D S V,07986272559,allu@gmail.com,Washington,Yes,Premium,Bachelor,Employed,Male,2000000000,Married,Agent,Luxury Car,Small,27,60000 to 69000,3,None,3 Years
Sai Kiran reddy,7795162451,sai@gmail.com,Nevada,No,Extended,Master,Employed,Male,59000,Single,Agent,Luxury SUV,Medium Size,27,30000 to 39000,3,None,New
Charan Harsha,7986272559,charanharsha30@gmail.com,Washington,Yes,Basic,Master,Employed,Male,84000,Married,Agent,Luxury SUV,Large,27,40000 to 59000,3,None,2 Years
